Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1988,2,10,3,1226,1220,1501,1446,US,87,NA,155,146,NA,15,6,PHL,MCO,861,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,7,9,6,1705,1705,717,723,DL,24,NA,492,498,NA,-6,0,HNL,ATL,4502,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,25,3,850,850,1014,1024,AA,235,NA,144,154,NA,-10,0,BOS,ORD,867,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,10,13,4,706,705,817,815,PI,1623,NA,71,70,NA,2,1,ORH,BWI,330,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,1,2,6,1215,1155,1640,1633,AA,622,NA,145,158,NA,7,20,PSP,DFW,1126,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,22,4,642,645,950,1009,UA,652,NA,128,144,NA,-19,-3,BUR,DEN,850,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,4,1,1859,1849,2105,2051,UA,381,NA,186,182,NA,14,10,MIA,ORD,1197,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,3,17,4,2000,2000,2127,2135,PA (1),567,NA,147,155,NA,-8,0,MSP,SLC,991,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,1,4,2002,2001,2151,2202,AA,618,NA,109,121,NA,-11,1,DFW,IND,762,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,4,8,5,1320,1318,1602,1559,AA,394,NA,102,101,NA,3,2,ORD,DCA,612,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,5,29,7,1943,1945,2219,2242,CO,1734,NA,96,117,NA,-23,-2,MSY,MIA,674,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,8,1,1,1554,1550,1718,1724,UA,1012,NA,84,94,NA,-6,4,PDX,SFO,550,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1988,9,17,6,1328,1330,1642,1644,AA,326,NA,134,134,NA,-2,-2,COS,ORD,911,NA,NA,0,NA,0,NA,NA,NA,NA,NA
