"type","duration","distance","hour","day","month","year"
"scooter",1785,5100,19,5,9,2018
"scooter",105,0,10,0,9,2018
"scooter",188,0,11,4,9,2018
"scooter",622,624,17,5,9,2018
"scooter",282,737,15,4,9,2018
"scooter",431,738,17,0,9,2018
"scooter",518,1606,15,6,9,2018
"scooter",585,0,14,0,9,2018
"scooter",409,300,11,6,9,2018
"scooter",122,167,15,5,9,2018
"scooter",130,228,10,0,9,2018
"scooter",229,266,15,0,9,2018
"scooter",279,1104,16,3,9,2018
"scooter",1182,0,16,5,9,2018
"scooter",239,1119,15,0,9,2018
"scooter",723,1121,20,0,9,2018
"scooter",348,1302,19,2,9,2018
"scooter",98,387,19,1,9,2018
"scooter",1109,1682,17,2,9,2018
"scooter",344,0,8,4,9,2018
"scooter",1019,1893,19,0,9,2018
"scooter",610,190,14,0,9,2018
"scooter",33,0,21,0,9,2018
"scooter",141,203,10,5,9,2018
"scooter",431,574,10,5,9,2018
"scooter",163,208,12,1,9,2018
"scooter",183,606,10,5,9,2018
"scooter",308,1100,17,4,9,2018
"scooter",715,0,20,0,9,2018
"scooter",731,2181,13,4,9,2018
"scooter",907,0,12,5,9,2018
"scooter",867,7,18,0,9,2018
"scooter",1276,1744,23,5,9,2018
"scooter",121,239,17,0,9,2018
"scooter",348,628,12,4,9,2018
"scooter",201,322,13,2,9,2018
"scooter",122,300,15,1,9,2018
"scooter",2867,1322,13,1,9,2018
"scooter",67,0,12,3,9,2018
"scooter",185,334,10,3,9,2018
"scooter",3200,11019,11,1,9,2018
"scooter",1246,4994,16,2,9,2018
"scooter",2053,456,15,6,9,2018
"scooter",194,245,16,6,9,2018
"scooter",1133,279,12,4,9,2018
"scooter",623,488,9,0,9,2018
"scooter",184,701,16,0,9,2018
"scooter",155,267,16,2,9,2018
"scooter",964,682,19,6,9,2018
"scooter",375,0,12,4,9,2018
"scooter",215,0,17,5,9,2018
"scooter",561,1628,11,3,9,2018
"scooter",499,342,16,6,9,2018
"scooter",513,1590,8,4,9,2018
"scooter",539,1226,16,6,9,2018
"scooter",285,1231,20,4,9,2018
"scooter",276,907,13,5,9,2018
"scooter",445,1800,13,0,9,2018
"scooter",384,0,17,0,9,2018
"scooter",343,1256,15,5,9,2018
"scooter",938,1563,9,0,9,2018
"scooter",805,614,19,6,9,2018
"scooter",619,1758,18,1,9,2018
"scooter",306,616,15,3,9,2018
"scooter",2679,6128,18,6,9,2018
"scooter",94,211,23,3,9,2018
"scooter",374,945,20,5,9,2018
"scooter",250,0,10,3,9,2018
"scooter",511,1806,14,5,9,2018
"scooter",354,12993,16,4,9,2018
"scooter",296,392,10,2,9,2018
"scooter",4759,535,17,1,9,2018
"scooter",349,76,21,3,9,2018
"scooter",245,739,15,3,9,2018
"scooter",193,326,19,1,9,2018
"scooter",1368,4300,17,6,9,2018
"scooter",162,114,22,4,9,2018
"scooter",648,1316,13,1,9,2018
"scooter",156,314,11,1,9,2018
"scooter",277,1061,22,5,9,2018
"scooter",106,0,13,6,9,2018
"scooter",468,0,0,5,9,2018
