"","iata","airport","city","state","country","lat","long"
"1","00M","Thigpen ","Bay Springs","MS","USA",31.95376472,-89.23450472
"2","00R","Livingston Municipal","Livingston","TX","USA",30.68586111,-95.01792778
"3","00V","Meadow Lake","Colorado Springs","CO","USA",38.94574889,-104.5698933
"4","01G","Perry-Warsaw","Perry","NY","USA",42.74134667,-78.05208056
"5","01J","Hilliard Airpark","Hilliard","FL","USA",30.6880125,-81.90594389
"6","01M","Tishomingo County","Belmont","MS","USA",34.49166667,-88.20111111
"7","02A","Gragg-Wade ","Clanton","AL","USA",32.85048667,-86.61145333
"8","02C","Capitol","Brookfield","WI","USA",43.08751,-88.17786917
"9","02G","Columbiana County","East Liverpool","OH","USA",40.67331278,-80.64140639
"10","03D","Memphis Memorial","Memphis","MO","USA",40.44725889,-92.22696056
"11","04M","Calhoun County","Pittsboro","MS","USA",33.93011222,-89.34285194
"12","04Y","Hawley Municipal","Hawley","MN","USA",46.88384889,-96.35089861
"13","05C","Griffith-Merrillville ","Griffith","IN","USA",41.51961917,-87.40109333
"14","05F","Gatesville - City/County","Gatesville","TX","USA",31.42127556,-97.79696778
"15","05U","Eureka","Eureka","NV","USA",39.60416667,-116.0050597
"16","06A","Moton  Municipal","Tuskegee","AL","USA",32.46047167,-85.68003611
"17","06C","Schaumburg","Chicago/Schaumburg","IL","USA",41.98934083,-88.10124278
"18","06D","Rolla Municipal","Rolla","ND","USA",48.88434111,-99.62087694
"19","06M","Eupora Municipal","Eupora","MS","USA",33.53456583,-89.31256917
"20","06N","Randall ","Middletown","NY","USA",41.43156583,-74.39191722
"21","06U","Jackpot/Hayden ","Jackpot","NV","USA",41.97602222,-114.6580911
"22","07C","Dekalb County","Auburn","IN","USA",41.30716667,-85.06433333
"23","07F","Gladewater Municipal","Gladewater","TX","USA",32.52883861,-94.97174556
"24","07G","Fitch H Beach","Charlotte","MI","USA",42.57450861,-84.81143139
"25","07K","Central City Municipal","Central City","NE","USA",41.11668056,-98.05033639
"26","08A","Wetumpka Municipal","Wetumpka","AL","USA",32.52943944,-86.32822139
"27","08D","Stanley Municipal","Stanley","ND","USA",48.30079861,-102.4063514
"28","08K","Harvard State","Harvard","NE","USA",40.65138528,-98.07978667
"29","08M","Carthage-Leake County","Carthage","MS","USA",32.76124611,-89.53007139
"30","09A","Butler-Choctaw County","Butler","AL","USA",32.11931306,-88.1274625
"31","09J","Jekyll Island","Jekyll Island","GA","USA",31.07447222,-81.42777778
"32","09K","Sargent Municipal","Sargent","NE","USA",41.63695083,-99.34038139
"33","09M","Charleston Municipal","Charleston","MS","USA",33.99150222,-90.078145
