"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"0d56b5e6-0dea-42c6-804a-f7b8422247cd","595fc24c-41cd-4112-b039-ca54504c1ed5","scooter",482,0,"10/12/2018 01:45:00 PM","10/12/2018 01:45:00 PM","12/13/2018 03:42:23 PM",10,13,5,1,1,2018
"5bfcd0b9-1810-416a-8bf2-0abbff15e17b","fbacc283-69a9-4d88-b102-1da3c4d8acd3","scooter",365,0,"10/15/2018 09:45:00 PM","10/15/2018 09:45:00 PM","12/12/2018 10:16:35 PM",10,21,1,9,9,2018
"5cf43764-3120-4da5-aa3f-62083d349142","d58bb3ca-3416-46af-b221-bca275e3e446","bicycle",709,1529,"10/31/2018 02:15:00 PM","10/31/2018 02:30:00 PM","12/21/2018 12:35:04 AM",10,14,3,9,9,2018
"cd28f32f-201c-41df-9643-66893db351ff","c931b8c0-6067-49ad-a6c1-36dc4d9c4124","scooter",1037,1147,"10/16/2018 09:30:00 PM","10/16/2018 09:45:00 PM","12/13/2018 03:42:07 PM",10,21,2,9,0,2018
"d25c31db-7938-41cb-9494-775dbff1873a","33eacd39-81e9-4ab4-81af-26353b3fe6d1","scooter",327,681,"10/11/2018 12:30:00 PM","10/11/2018 12:45:00 PM","12/13/2018 03:51:14 PM",10,12,4,9,9,2018
"3893f9d4-6b05-423a-a953-51cf96226503","b5754725-5ce4-4287-b331-10ffbfd5cecc","scooter",17,1,"10/14/2018 07:00:00 PM","10/14/2018 07:00:00 PM","12/12/2018 09:48:49 PM",10,19,0,5,5,2018
"691e469a-2e43-4406-b42a-c52c5e1578f2","ca1a8abe-3556-4e45-94b6-4c00160654ee","scooter",914,2438,"10/24/2018 01:15:00 PM","10/24/2018 01:30:00 PM","12/13/2018 03:41:03 PM",10,13,3,3,3,2018
"0d47f185-5d4a-4292-8bcc-5f12c9896eac","e2e8e220-cf3e-45e7-8d2f-0b9110581d43","scooter",1365,2849,"10/28/2018 07:45:00 PM","10/28/2018 08:15:00 PM","12/21/2018 12:37:18 AM",10,19,0,9,9,2018
"01eb5199-6ca7-418e-99ef-bd9fb48858fc","f03ed1ab-551d-4675-ab4f-5efd9398bd2c","scooter",2424,4100,"10/14/2018 11:00:00 AM","10/14/2018 11:45:00 AM","12/13/2018 03:36:06 PM",10,11,0,9,9,2018
"4c3ac7eb-88dc-4498-8fc0-ea9e60b85142","edac29b5-f2f8-4004-b3b2-fe7bef5c42a0","scooter",394,1200,"10/12/2018 12:00:00 PM","10/12/2018 12:00:00 PM","12/13/2018 03:48:20 PM",10,12,5,9,9,2018
"966504c0-6d14-4f4c-94bf-ae7bd93a9005","7e7c662f-a32d-4fc0-9f4f-5e1370adae83","scooter",865,0,"10/07/2018 05:00:00 PM","10/07/2018 05:15:00 PM","12/12/2018 09:42:57 PM",10,17,0,9,9,2018
"3e21ac4b-4568-4467-8d46-a08202bf7606","6e9a9c84-c7fe-43e2-9e3d-e2baaf398ded","scooter",283,0,"10/09/2018 05:15:00 PM","10/09/2018 05:15:00 PM","12/13/2018 03:41:15 PM",10,17,2,9,9,2018
"7fac774a-53c7-4309-9d57-780e87f2c272","0603463b-4edf-4f93-a09e-76ba5efef27d","scooter",180,0,"10/11/2018 03:00:00 PM","10/11/2018 03:00:00 PM","12/13/2018 03:49:15 PM",10,15,4,9,9,2018
"81588754-5891-4db8-9dd3-6c91124aba05","0d69453c-7556-4a88-bc22-1609399da341","scooter",217,202,"10/19/2018 09:15:00 AM","10/19/2018 09:15:00 AM","12/13/2018 03:37:18 PM",10,9,5,9,9,2018
"74b6bf3a-94c2-4e42-abb4-4957702749e8","8e334109-2179-4a7b-93c5-08719addbae0","scooter",322,1067,"10/02/2018 12:45:00 PM","10/02/2018 12:45:00 PM","12/13/2018 03:38:50 PM",10,12,2,9,1,2018
"2f3aa92a-7547-4458-9d7a-369e142de693","a07e6b8f-6554-4dcb-ae85-0e3dd6646c3e","scooter",258,1304,"10/30/2018 01:30:00 PM","10/30/2018 01:30:00 PM","12/21/2018 12:34:47 AM",10,13,2,0,3,2018
"25c2769e-5b02-4d2e-96cc-11b91cc9166d","4ae5a6d1-82ee-4ddc-b892-b0604d17ca71","scooter",600,2013,"10/01/2018 05:15:00 PM","10/01/2018 05:15:00 PM","12/12/2018 09:19:02 PM",10,17,1,9,9,2018
"7dc56085-3726-462c-bd7d-110cf758cdb5","a23ebbda-7d58-4f0c-ae34-362177f7fe9b","scooter",178,190,"10/20/2018 02:30:00 PM","10/20/2018 02:45:00 PM","12/12/2018 09:33:14 PM",10,14,6,9,9,2018
"1ee4e1c5-bc46-4aaa-8917-6449d8078754","bb4da9b7-0f96-4a3e-b456-630d6e142750","scooter",299,0,"10/15/2018 01:15:00 PM","10/15/2018 01:30:00 PM","12/12/2018 09:23:06 PM",10,13,1,9,9,2018
"57dbff96-6929-4f63-a22d-cdab25f010d1","4cd93e92-3c6e-424f-8a2d-6a45f2d8cfea","scooter",325,600,"10/12/2018 01:45:00 PM","10/12/2018 02:00:00 PM","12/12/2018 09:26:09 PM",10,13,5,9,9,2018
"0edbaabc-8416-4adc-8b0a-68bdf4ffabbc","7ab5391b-2428-470e-b1c4-528d32196097","scooter",1379,3704,"10/05/2018 11:00:00 AM","10/05/2018 11:30:00 AM","12/13/2018 03:54:07 PM",10,11,5,9,9,2018
"bdf52c01-5fdd-4736-8840-fed39f73f943","d66890ac-f465-43a9-9b1a-3ed39758b87b","bicycle",568,1690,"10/11/2018 12:30:00 AM","10/11/2018 12:30:00 AM","12/21/2018 12:35:45 AM",10,0,4,9,3,2018
"cb786c76-16af-4724-bced-f1c42bc9d147","6057c9a0-9fd5-4a3b-ba45-7fd9dd936e88","scooter",926,2999,"10/27/2018 01:30:00 AM","10/27/2018 01:45:00 AM","12/13/2018 03:36:30 PM",10,1,6,5,5,2018
"b745241a-6b91-4680-8d85-bdac3b0313e0","d126f6f9-f67f-461e-9625-42b2a0941e60","scooter",2031,3429,"10/30/2018 02:15:00 PM","10/30/2018 03:00:00 PM","12/12/2018 09:32:00 PM",10,14,2,9,9,2018
"68763f8c-ece4-4006-a8df-aca186812bec","05cb631e-8b2f-4f6a-b476-179b040a51e2","scooter",407,736,"10/01/2018 09:15:00 PM","10/01/2018 09:15:00 PM","12/13/2018 03:57:50 PM",10,21,1,9,9,2018
"0d3a9a0b-df20-422d-bb5f-0319503bca18","c988d6ce-f166-479a-991f-589ae936bc50","scooter",99,152,"10/29/2018 11:15:00 AM","10/29/2018 11:15:00 AM","12/13/2018 03:45:41 PM",10,11,1,9,9,2018
"6287f95e-d44a-4212-a0ae-322553b64b83","9a182a6a-7ed8-4c03-bb5e-3ca5fb3ae4fb","scooter",401,0,"10/29/2018 08:30:00 AM","10/29/2018 08:45:00 AM","12/13/2018 03:36:55 PM",10,8,1,9,9,2018
"d008a9e1-c93f-4265-9fac-788ba017279a","0aee6de3-d686-4158-8144-d35ecb592a54","scooter",254,1119,"10/25/2018 08:00:00 AM","10/25/2018 08:00:00 AM","12/12/2018 09:48:49 PM",10,8,4,9,9,2018
"dffe82b9-b216-4e15-a073-a4396452dc6e","ff99e99f-b47e-46aa-afdf-787e1ef9eb72","scooter",928,2024,"10/20/2018 12:30:00 PM","10/20/2018 12:45:00 PM","12/12/2018 09:23:38 PM",10,12,6,3,3,2018
"fc3e7e3c-7ad1-41f5-a9ff-1fcacf7d64a3","5705d1e9-3886-4167-8715-e5e938757e27","scooter",184,0,"10/14/2018 06:00:00 PM","10/14/2018 06:00:00 PM","12/13/2018 03:42:40 PM",10,18,0,9,9,2018
"ed36c3f0-a2ad-4b45-9095-b7f55eaf6f49","39701ebb-90c0-4a1d-b8f8-240caeb9054c","scooter",302,1457,"10/26/2018 11:45:00 AM","10/26/2018 11:45:00 AM","12/12/2018 09:29:43 PM",10,11,5,3,3,2018
"9a0226eb-62ae-46be-9562-29601da4d774","26f14989-67ed-4c31-9525-740bdc016ae1","scooter",190,0,"10/30/2018 01:45:00 PM","10/30/2018 01:45:00 PM","12/13/2018 03:38:35 PM",10,13,2,9,9,2018
"57b4ab28-667b-4854-a210-a3d689ddfaff","5389ac92-6c54-4512-99ed-d46b0533ed02","scooter",293,0,"10/29/2018 12:00:00 PM","10/29/2018 12:00:00 PM","12/13/2018 03:41:19 PM",10,12,1,9,9,2018
"1bd97f95-0df5-4bab-9b99-f876c3d89ff2","2c3ccd5c-5168-422d-884f-20e77980ec79","scooter",843,3165,"10/05/2018 01:30:00 PM","10/05/2018 01:45:00 PM","12/12/2018 09:49:06 PM",10,13,5,3,1,2018
"a6853e00-0a6e-4549-8858-6b3577474dcc","e6edd348-bd14-45d2-8b27-5861d4d2cf4f","scooter",326,708,"10/03/2018 12:15:00 PM","10/03/2018 12:15:00 PM","12/13/2018 03:45:37 PM",10,12,3,9,9,2018
"9bd92412-d2f4-4a1b-92f2-6e8b4c7fd89f","b41ac5b4-2bcb-47f8-b270-c1e245b37307","scooter",954,1447,"10/07/2018 12:15:00 PM","10/07/2018 12:30:00 PM","12/13/2018 03:55:29 PM",10,12,0,9,9,2018
"2ef6a18a-643a-40e1-a763-d649bd11209b","22808ec9-031d-44f0-9e47-0c729885c949","scooter",148,320,"10/03/2018 01:30:00 PM","10/03/2018 01:30:00 PM","12/13/2018 03:42:12 PM",10,13,3,9,9,2018
"4e5779c1-1dba-47aa-9b14-3d3e3caaede9","621afb0c-913b-4396-b67e-56d92b9dbe08","scooter",1343,400,"10/15/2018 04:45:00 PM","10/15/2018 05:15:00 PM","12/13/2018 04:35:29 PM",10,16,1,9,9,2018
"c12e1d84-9ad7-4ba5-b731-6bfcee9f6022","d0c92938-af1d-4e03-84b0-45b01af5a12f","scooter",2700,4000,"10/07/2018 11:30:00 AM","10/07/2018 12:15:00 PM","12/13/2018 03:54:24 PM",10,11,0,9,9,2018
"b7ec2200-2c7e-49a7-84ca-71f931379a5f","6dbb30d7-712b-43f6-9e36-ed1dde9ae332","scooter",736,1100,"10/09/2018 03:00:00 PM","10/09/2018 03:15:00 PM","12/13/2018 03:54:11 PM",10,15,2,9,9,2018
"393f421e-40e8-482d-8a1e-7ad2ccec0edf","3c350d3d-4dbd-4c75-9ad6-933688ebc902","scooter",369,803,"10/06/2018 12:15:00 PM","10/06/2018 12:30:00 PM","12/12/2018 09:37:54 PM",10,12,6,9,9,2018
"6bebb757-0dbd-4167-acdd-0897710f3da4","7c79d1d7-a0ee-448f-802f-d9ab7d62e8e4","scooter",645,2128,"10/03/2018 09:00:00 PM","10/03/2018 09:15:00 PM","12/13/2018 03:56:39 PM",10,21,3,9,9,2018
"9bf0de0c-a9b6-4e11-b941-871f9962c9ed","a25a224f-4765-4788-b94a-77ca95da6b20","scooter",185,546,"10/26/2018 01:15:00 PM","10/26/2018 01:30:00 PM","12/12/2018 09:34:17 PM",10,13,5,9,9,2018
"440da711-feb4-44e9-81ad-1baae1753061","345258a0-a957-4b7e-8104-c03997c8f96e","scooter",558,1529,"10/25/2018 10:45:00 AM","10/25/2018 10:45:00 AM","12/21/2018 12:36:25 AM",10,10,4,0,3,2018
"78f9235a-820a-4d4e-a098-172b71dfcc51","9be7c582-f34d-4780-806c-5ab1c07a84fc","scooter",477,1324,"10/23/2018 12:45:00 PM","10/23/2018 12:45:00 PM","12/12/2018 10:23:32 PM",10,12,2,9,9,2018
"045b10df-9e20-4cb9-9a54-0027ddcaab41","8f4efbc2-7fe6-4ab1-966e-b54c63b1e1bd","scooter",232,0,"10/01/2018 01:00:00 PM","10/01/2018 01:00:00 PM","12/13/2018 03:54:07 PM",10,13,1,9,9,2018
"c48bba29-1b4c-4e14-8b3d-48a572830f00","71b76fdd-8086-4b14-b6df-6ea84b4aa95e","scooter",254,721,"10/05/2018 09:45:00 AM","10/05/2018 10:00:00 AM","12/13/2018 03:42:36 PM",10,9,5,9,9,2018
