"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"6b3bbd19-14e6-4141-9ba0-934682176542","13d828c2-9e9a-4e6a-9248-98ccbe53e15d","scooter",221,837,"02/11/2019 06:00:00 PM","02/11/2019 06:00:00 PM","02/12/2019 12:17:15 AM",2,18,1,9,9,2019
"0867b35a-200d-4e4f-90c1-52c1c21b0dd3","cbf35d9b-9766-411b-bdd7-ac80149c112f","scooter",465,954,"02/05/2019 12:15:00 PM","02/05/2019 12:30:00 PM","02/05/2019 06:32:19 PM",2,12,2,9,9,2019
"7362ac5f-ce13-4b77-98b4-178bec880537","ce4ec35b-2c28-45a5-b346-347fd5c9be5c","scooter",297,337,"02/07/2019 06:30:00 PM","02/07/2019 06:30:00 PM","03/12/2019 04:03:57 PM",2,18,4,9,9,2019
"c892d301-260d-47ed-a770-b06c36dfd60c","a578a61c-a0d3-488f-b2c3-32cff770cbb7","scooter",244,745,"02/26/2019 08:30:00 AM","02/26/2019 08:45:00 AM","02/26/2019 03:02:13 PM",2,8,2,9,9,2019
"108551b9-0d41-4347-b4ac-a665ed260817","398d4fc2-82f4-4243-ab5b-6f2bfe591298","scooter",2040,6438,"02/17/2019 01:45:00 PM","02/17/2019 02:15:00 PM","02/17/2019 08:47:13 PM",2,13,0,9,3,2019
"7d79ffb4-996d-4cca-be41-9d55145cdccf","8ee69e02-f73b-4234-ba89-c24844bd129a","scooter",42,51,"02/24/2019 02:15:00 AM","02/24/2019 02:15:00 AM","02/24/2019 08:32:13 AM",2,2,0,1,1,2019
"24f7a4ed-263f-485e-9d9c-db6e41483c67","e4b2207e-788a-441a-ad5d-ce23ebbb92fc","scooter",316,663,"02/15/2019 12:30:00 PM","02/15/2019 12:30:00 PM","02/15/2019 06:47:13 PM",2,12,5,9,9,2019
"fbb8bbd7-1dc2-41e0-93b1-2bcead07d1c5","6c709208-6b3c-46fc-98b5-2213e173a5ba","scooter",297,355,"02/21/2019 08:15:00 PM","02/21/2019 08:15:00 PM","02/22/2019 02:32:18 AM",2,20,4,9,9,2019
"1bd0461f-dcc0-4508-a86a-655ba8a2a74b","3b02c6a8-e1d6-453e-85f5-e1efd20caa20","scooter",585,0,"02/27/2019 06:15:00 PM","02/27/2019 06:15:00 PM","02/28/2019 12:32:14 AM",2,18,3,9,9,2019
"2ef6f681-b6bf-4be0-91dc-6439baed1af8","7df90d10-a8d8-4025-8852-d7b95fe2233f","scooter",268,632,"02/05/2019 09:15:00 AM","02/05/2019 09:30:00 AM","02/05/2019 03:47:21 PM",2,9,2,9,9,2019
"b23122ed-fccb-4620-ad7a-2746df25c9b4","9f3f33ac-d52a-422d-b553-a7357da2ee77","scooter",94,306,"02/09/2019 06:45:00 PM","02/09/2019 06:45:00 PM","02/10/2019 01:02:10 AM",2,18,6,9,1,2019
"3ccc6014-0d14-4b00-8c2d-007e716e7b3d","c195df38-9285-4a4c-b455-44b699537784","scooter",324,1473,"02/21/2019 09:15:00 AM","02/21/2019 09:15:00 AM","02/21/2019 03:42:07 PM",2,9,4,9,9,2019
"429e98fa-0034-4872-b367-70eb5cfccd4c","8b781fe1-d1e2-4e37-9948-aa871ff71143","scooter",1621,6242,"02/05/2019 06:00:00 AM","02/05/2019 06:30:00 AM","02/05/2019 12:45:08 PM",2,6,2,3,9,2019
"109c1632-ff69-4a19-8bc3-fe68e7bdeaf7","15869acc-8616-4835-b4a5-acff46d7cf2f","scooter",120,9,"02/20/2019 04:00:00 PM","02/20/2019 04:00:00 PM","02/20/2019 10:17:22 PM",2,16,3,9,9,2019
"86a2f274-5acd-429d-acd2-fe213c1acbe7","030b28af-89f6-48eb-94ea-6ed4179eb79d","scooter",566,2031,"02/11/2019 11:15:00 AM","02/11/2019 11:30:00 AM","02/11/2019 05:47:41 PM",2,11,1,9,9,2019
"33601a68-501f-4b33-b00f-2f58b27dd846","d06d01fa-f86e-4e96-831d-deac7cd50566","scooter",31,146,"02/02/2019 08:45:00 PM","02/02/2019 08:45:00 PM","02/03/2019 03:02:14 AM",2,20,6,3,3,2019
"35ddc1f7-8d42-49d8-9947-4609b096cdcc","507b3add-68b3-4ac0-80d1-591b9591bcea","scooter",1011,994,"02/19/2019 08:30:00 PM","02/19/2019 08:45:00 PM","02/20/2019 03:02:11 AM",2,20,2,9,9,2019
"306a1531-6648-4e75-b947-df67695cda24","39f48882-1744-4e9b-9320-fc159ce1dff9","scooter",1879,4664,"02/23/2019 04:15:00 PM","02/23/2019 04:45:00 PM","02/23/2019 11:02:15 PM",2,16,6,9,9,2019
"7dae16a5-73af-48bf-800d-e04b5bd81f08","701259f6-5339-40a8-b638-00a773c205a4","scooter",25,1,"02/13/2019 04:00:00 PM","02/13/2019 04:00:00 PM","02/13/2019 10:15:20 PM",2,16,3,9,9,2019
"0a81f283-7015-4195-8e08-290ef13e7c15","d9405aa1-3008-42fa-9423-7f70fa373b14","scooter",240,1011,"02/05/2019 04:45:00 PM","02/05/2019 04:45:00 PM","02/05/2019 11:02:15 PM",2,16,2,9,9,2019
"86b4ef2d-7e09-4531-8f31-ad78d33c4b40","1e06cb13-5142-4392-9d6b-a9e35b6af023","scooter",392,1175,"02/28/2019 06:15:00 PM","02/28/2019 06:15:00 PM","03/01/2019 12:32:11 AM",2,18,4,3,3,2019
"a1e2bbbf-bc93-4f6b-ab57-c4c1583af30a","30eacab3-9d65-42be-a8d0-0104bd253b6b","scooter",150,455,"02/10/2019 03:00:00 PM","02/10/2019 03:00:00 PM","02/10/2019 09:32:10 PM",2,15,0,9,9,2019
"b1298a78-c98e-4fa0-9e82-d13a92c4f6e8","7e79f8d9-89a2-4326-b47f-18291b5bc4b6","scooter",598,2864,"02/21/2019 02:45:00 PM","02/21/2019 03:00:00 PM","02/21/2019 09:02:19 PM",2,14,4,9,3,2019
"c50975fe-b448-498c-9fbe-7426d0edeb54","08ab9714-e1a2-4b29-aea2-80cc3f385d50","scooter",957,1866,"02/18/2019 11:45:00 AM","02/18/2019 12:00:00 PM","03/12/2019 04:05:32 PM",2,11,1,9,3,2019
"3902656f-065f-41d1-9571-742131467e2a","9120c779-39f3-4206-9b1d-3c170cf7ac88","scooter",518,918,"02/25/2019 01:30:00 PM","02/25/2019 01:45:00 PM","02/25/2019 08:02:14 PM",2,13,1,9,9,2019
"e6f15282-9456-42e1-a76c-0c5fdefea5e5","da2c3522-39a6-47d8-ab25-876ca59743fd","scooter",820,1110,"02/04/2019 02:30:00 AM","02/04/2019 02:45:00 AM","02/04/2019 11:28:15 AM",2,2,1,9,9,2019
"248fd10b-bf48-4ca3-8eb9-7f4a599597d9","bce013f3-caf1-4537-b3aa-b35ebc8fb2f4","scooter",406,241,"02/19/2019 01:00:00 PM","02/19/2019 01:00:00 PM","02/19/2019 09:28:13 PM",2,13,2,9,9,2019
"80a38971-a628-485a-b3de-67c5d4d15342","9641ee6b-ee19-4c6c-b31a-b6301b1cfe89","scooter",156,0,"02/14/2019 01:15:00 PM","02/14/2019 01:15:00 PM","02/14/2019 07:32:12 PM",2,13,4,1,9,2019
"b455c0fe-9759-4e16-8e4a-d00c6c953a95","6ea67cfc-d3d2-4af2-ac98-e9db5def5238","scooter",398,1375,"02/08/2019 09:00:00 PM","02/08/2019 09:00:00 PM","02/09/2019 03:17:09 AM",2,21,5,9,9,2019
"5e3f2867-c501-4fda-9204-ff5b1fd6bf86","5dd88b2b-a2d0-47f4-860c-9288fc5d3f3b","scooter",388,498,"02/23/2019 09:45:00 AM","02/23/2019 10:00:00 AM","03/12/2019 04:05:56 PM",2,9,6,9,9,2019
"bb3e7fa5-20cc-4b71-bb4c-a420f2b12f31","f8b7ddf2-6982-4245-be6a-b019b22bb53e","scooter",344,399,"02/01/2019 05:15:00 PM","02/01/2019 05:30:00 PM","02/01/2019 11:32:20 PM",2,17,5,9,9,2019
"de18a134-58d9-47c1-ab3d-1f807d199d2d","66080520-0dd8-4bd2-a905-36f0a137bf58","scooter",386,1223,"02/18/2019 09:00:00 AM","02/18/2019 09:15:00 AM","03/12/2019 04:03:37 PM",2,9,1,9,9,2019
"c3c605e7-66a4-4755-8012-5218773c5550","87ddf05b-86af-435f-bd9f-b278acee77a6","scooter",100,90,"02/23/2019 12:30:00 PM","02/23/2019 12:30:00 PM","02/23/2019 06:47:16 PM",2,12,6,9,9,2019
"5126cfbd-0ad5-43f7-b847-47700a0f57ab","96f8bf62-6d0b-43b4-847b-7239575dc4ea","scooter",135,639,"02/25/2019 07:45:00 PM","02/25/2019 07:45:00 PM","02/26/2019 02:02:16 AM",2,19,1,9,1,2019
"3ce6bda7-d07f-4dc6-8ba5-547ea95b25b3","08e482a3-7fa4-4bd3-8fff-806a6bd3b11c","scooter",1086,1142,"02/01/2019 10:30:00 PM","02/01/2019 10:45:00 PM","03/12/2019 04:02:25 PM",2,22,5,9,9,2019
"e9224867-a809-4685-ae66-31c8e27a819a","60f7e681-c824-4d94-9e39-b69b8040d501","scooter",195,541,"02/15/2019 12:15:00 PM","02/15/2019 12:15:00 PM","02/15/2019 06:32:18 PM",2,12,5,9,9,2019
"ed84f1bc-ada1-429b-8ba5-b2e9f1c73a34","8e5e7617-0379-47b6-a9ef-a51bff36bf35","scooter",413,1130,"02/27/2019 10:00:00 AM","02/27/2019 10:00:00 AM","02/27/2019 04:17:14 PM",2,10,3,9,9,2019
"34abc47e-dcd1-4b58-850b-fc2304828471","1e0272cf-d89f-454a-858e-edb000319204","scooter",1148,1705,"02/24/2019 11:30:00 AM","02/24/2019 11:45:00 AM","03/12/2019 05:49:01 PM",2,11,0,9,9,2019
"e05cda9e-02c9-414c-b408-30ab23356df1","318e3b31-0f7e-44ae-ae4c-12d8695f716e","scooter",64,0,"02/13/2019 10:15:00 PM","02/13/2019 10:15:00 PM","02/14/2019 04:32:13 AM",2,22,3,5,5,2019
"ec579f5e-3ac4-4ca0-90d0-33a58d04ed0d","d1490760-7005-4f5a-9a0e-88f5e936a219","scooter",544,1770,"02/26/2019 11:00:00 AM","02/26/2019 11:00:00 AM","03/12/2019 05:47:31 PM",2,11,2,9,9,2019
