Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,8,10,4,2313,2315,2338,2340,AA,872,NA,25,25,NA,-2,-2,SJC,OAK,30,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,8,28,1,825,825,916,915,WN,519,NA,51,50,NA,1,0,ABQ,ELP,223,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,9,3,7,1524,1525,1542,1555,AA,911,NA,78,90,NA,-13,-1,RDU,BNA,443,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,4,19,3,720,720,930,922,PI,1222,NA,130,122,NA,8,0,MCO,BWI,787,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,12,17,7,1225,1225,1442,1435,HP,805,NA,77,70,NA,7,0,LAS,SLC,368,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,5,1,1,1231,1215,1352,1351,CO,473,NA,81,96,NA,1,16,DEN,BIL,455,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,8,4,5,1411,1411,1440,1447,TW,695,NA,89,96,NA,-7,0,ATL,STL,483,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,11,25,6,1810,1812,2010,2005,AA,1181,NA,180,173,NA,5,-2,BOS,BNA,943,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,4,2,7,1602,1600,1645,1645,HP,1084,NA,43,45,NA,0,2,PHX,FLG,119,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,7,6,1156,1120,1410,1350,AA,1229,NA,254,270,NA,20,36,ORD,SEA,1721,NA,NA,0,NA,0,NA,NA,NA,NA,NA
