"ID","Device ID","Vehicle Type","Trip Duration","Trip Distance","Start Time","End Time","Modified Date","Month","Hour","Day of Week","Council District (Start)","Council District (End)","Year"
"fb9d57cb-f9ac-465b-91c7-ccb53b1d4905","777671bf-126f-4703-82c9-392f281ba850","scooter",114,257,"11/05/2018 03:45:00 AM","11/05/2018 03:45:00 AM","12/12/2018 09:13:54 PM",11,3,1,9,9,2018
"bb4177d9-f6de-4b09-9239-7c0ca7af159c","106f6099-b3c0-4a4f-94ea-bda70fbbd44f","scooter",279,658,"11/29/2018 08:30:00 AM","11/29/2018 08:45:00 AM","12/12/2018 09:23:38 PM",11,8,4,9,9,2018
"adb4284e-b1d2-49b6-9058-833844ccfde5","34c24abd-e0ab-4965-b913-c38dedc1af23","scooter",751,1389,"11/28/2018 07:45:00 AM","11/28/2018 08:00:00 AM","12/12/2018 09:33:14 PM",11,7,3,9,9,2018
"3ca078a0-c964-48b8-ba96-6ce6c47ec5c1","f2518cd1-a830-4a5b-8ecc-beac0eb587b6","scooter",620,1224,"11/17/2018 05:00:00 PM","11/17/2018 05:15:00 PM","12/13/2018 03:46:23 PM",11,17,6,1,9,2018
"09913170-5854-43ea-bba9-d4f402384845","a5b97b87-ea56-4cb5-a421-94138ee40006","scooter",172,0,"11/21/2018 08:00:00 PM","11/21/2018 08:00:00 PM","12/12/2018 09:43:14 PM",11,20,3,3,3,2018
"793ef089-279b-4b75-8d6d-a2f4b4221193","ffa0ab08-640f-4b66-bb70-40e800dc2bf9","scooter",416,0,"11/07/2018 11:45:00 AM","11/07/2018 11:45:00 AM","12/13/2018 03:36:38 PM",11,11,3,9,9,2018
"96099055-a198-4813-808b-e991d15bdaf0","a494b82f-80ca-40c4-b005-a45935bc76d1","scooter",450,2741,"11/21/2018 04:15:00 AM","11/21/2018 04:30:00 AM","12/13/2018 03:39:33 PM",11,4,3,3,2,2018
"d3828d19-7401-4f5f-a188-a19441c2745f","9a685c0d-064f-4d6c-a24f-de8d747ab870","scooter",195,289,"11/27/2018 03:15:00 PM","11/27/2018 03:15:00 PM","12/13/2018 03:51:01 PM",11,15,2,9,9,2018
"128083c6-e170-4a9c-b549-3cbabfa91576","8cdc86b5-3a01-4655-a580-0a02e9d05b5b","scooter",1795,2971,"11/02/2018 03:00:00 PM","11/02/2018 03:30:00 PM","12/12/2018 09:40:27 PM",11,15,5,9,9,2018
"91c05f4c-298d-4d65-bea1-e53c3d948a0f","36166c2e-3d7a-43bb-82b9-5d303d2f7865","scooter",395,729,"11/18/2018 07:15:00 PM","11/18/2018 07:15:00 PM","12/13/2018 03:37:18 PM",11,19,0,7,7,2018
"516c6899-290a-4b02-9e81-fcc656d761da","8d090ab1-48de-42c4-a56e-34ea3979d27b","scooter",2690,7325,"11/25/2018 02:00:00 PM","11/25/2018 02:45:00 PM","12/12/2018 09:36:48 PM",11,14,0,7,7,2018
"0542285a-78c3-469d-8074-8facb1a55d52","639d58d9-2de9-4f1e-80fc-bce3f09b0843","scooter",615,2059,"11/28/2018 08:30:00 AM","11/28/2018 08:45:00 AM","12/13/2018 03:55:08 PM",11,8,3,9,9,2018
"6d86671e-c5d1-472c-b371-2776979d6363","b52bfc5d-2ca3-4158-aaa6-d38c92f0f553","scooter",746,600,"11/04/2018 06:15:00 PM","11/04/2018 06:30:00 PM","12/12/2018 09:37:04 PM",11,18,0,9,9,2018
"c562653c-72b6-46b4-b339-f788ab9df486","3b095c5d-3ded-4d7d-a6aa-4417e702c6b4","scooter",139,364,"11/28/2018 05:00:00 PM","11/28/2018 05:00:00 PM","12/12/2018 09:20:27 PM",11,17,3,9,9,2018
"cead4a5b-ace0-4e7f-98e2-d9572ddb1fae","8d6eb9a9-11d2-409c-b03c-e1534771e5a1","scooter",203,1190,"11/21/2018 01:45:00 PM","11/21/2018 01:45:00 PM","12/12/2018 09:37:04 PM",11,13,3,9,9,2018
"488abb10-269b-47eb-9d12-951bfc8b578e","09a453d0-76af-4637-adfc-37f5fcd19dba","scooter",3004,8400,"11/03/2018 05:15:00 PM","11/03/2018 06:15:00 PM","12/13/2018 03:41:53 PM",11,17,6,9,9,2018
"d817d5ff-6309-4f53-847f-1d827bdd2952","7510732b-7191-4123-872b-1b3c7484c421","scooter",247,896,"11/28/2018 02:30:00 PM","11/28/2018 02:30:00 PM","12/13/2018 03:48:23 PM",11,14,3,9,9,2018
"0e605987-4b5d-47c0-bfb7-1523f2993425","c41389b4-12ce-48e2-9777-3b4a166cc17e","scooter",154,310,"11/02/2018 03:45:00 PM","11/02/2018 03:45:00 PM","12/13/2018 03:51:50 PM",11,15,5,9,9,2018
"af32daf8-55d2-41be-997b-04765e192938","c38bea18-ffff-438a-b043-7a6667b100ae","scooter",126,370,"11/09/2018 11:45:00 AM","11/09/2018 11:45:00 AM","12/21/2018 12:40:17 AM",11,11,5,9,9,2018
"c95d67c4-07ba-42fd-a029-f3a854b1eec2","a83e3fc7-751a-4cf7-9e68-b92c5217f30a","scooter",172,689,"11/15/2018 10:15:00 AM","11/15/2018 10:15:00 AM","12/12/2018 09:15:50 PM",11,10,4,9,9,2018
"afc3fafa-b3d4-4437-a532-fea56f1d0653","e30dcfd9-ff30-4e24-bde3-970eeaf64e4d","scooter",250,1329,"11/09/2018 02:00:00 PM","11/09/2018 02:15:00 PM","12/12/2018 09:48:16 PM",11,14,5,3,9,2018
"d705d64b-5943-4e80-80fa-82698e1ed4f8","8cb521a7-7f59-4ca6-a355-9078031a8d4c","scooter",729,2688,"11/16/2018 03:15:00 PM","11/16/2018 03:30:00 PM","12/21/2018 12:34:07 AM",11,15,5,9,9,2018
"f999dc4f-bb20-4811-96b6-c3e73d9c78c5","5382a8c4-ab5b-45f6-b098-6c27993dcf0c","scooter",564,0,"11/01/2018 12:30:00 AM","11/01/2018 12:45:00 AM","12/12/2018 09:17:50 PM",11,0,4,9,9,2018
"845f2ad5-4c8e-4922-b5ba-c2a4483e6598","5a409e7e-8c09-437e-9cae-02825a6195b8","scooter",1327,7687,"11/15/2018 03:00:00 PM","11/15/2018 03:30:00 PM","12/13/2018 03:42:00 PM",11,15,4,9,5,2018
"754fb2ea-02f8-48f3-a378-869cd7b580c7","0b6e4ac0-de05-4349-937d-528801e293f5","scooter",333,1061,"11/01/2018 12:30:00 PM","11/01/2018 12:45:00 PM","12/13/2018 03:58:04 PM",11,12,4,1,9,2018
"b8730885-4f5f-4de9-808e-4e34696b99ea","d618d22d-57ba-45b6-93e9-03b933ae8615","scooter",322,1271,"11/15/2018 12:15:00 PM","11/15/2018 12:15:00 PM","12/13/2018 03:44:45 PM",11,12,4,9,9,2018
"43940033-696d-40cc-ac83-f3a04f9a75b3","8c71a462-b25c-4bfb-bb8a-6da676d0efd0","scooter",1391,3772,"11/02/2018 12:15:00 PM","11/02/2018 12:45:00 PM","12/12/2018 09:17:31 PM",11,12,5,9,9,2018
"452c8062-0e25-4004-835f-6096fa2c8690","531d4af5-6e64-422f-ab6d-25411f1463dd","scooter",780,1192,"11/23/2018 02:15:00 PM","11/23/2018 02:30:00 PM","12/13/2018 03:43:34 PM",11,14,5,3,3,2018
"1cca711a-f851-4108-8d09-b9591edda173","ca1b4cf7-595e-4398-b0a1-e053e6c6ea8f","scooter",299,693,"11/27/2018 03:00:00 PM","11/27/2018 03:00:00 PM","12/12/2018 09:48:49 PM",11,15,2,9,9,2018
"f2809c6b-d6d3-4120-9d46-cc2c2d8c41aa","19e251fd-587c-4c78-8abe-ff8c68986518","scooter",619,2108,"11/09/2018 08:15:00 PM","11/09/2018 08:15:00 PM","12/21/2018 12:40:36 AM",11,20,5,0,3,2018
"6e9f984a-5c51-44d8-bb50-436d769b34a2","0bc87245-2ffe-49b2-adca-ccabecfba86e","scooter",48,31,"11/18/2018 12:15:00 PM","11/18/2018 12:15:00 PM","12/12/2018 09:41:39 PM",11,12,0,9,9,2018
"f2ad5f7c-6545-420d-a7ae-ea58e64c9104","ca23d922-8040-4166-b288-19629521b472","scooter",361,0,"11/09/2018 02:00:00 PM","11/09/2018 02:15:00 PM","12/13/2018 03:50:56 PM",11,14,5,9,9,2018
"9128309b-5b98-4408-a67f-99a2a816301b","e0414dc6-67e2-4261-b0d1-ed3db51014f3","scooter",1295,4373,"11/20/2018 02:30:00 PM","11/20/2018 03:00:00 PM","12/12/2018 09:19:34 PM",11,14,2,9,9,2018
"eee4aa63-8505-46b1-90a5-9a8df6ade078","50a9732f-fe7b-4350-a1b3-c10e528ac4d1","scooter",1024,2189,"11/03/2018 11:45:00 AM","11/03/2018 12:00:00 PM","12/21/2018 12:37:41 AM",11,11,6,1,9,2018
"17788bef-376f-4227-af2c-7abe686d0dbc","f6c14c16-a416-4a15-8a01-f735b2a398dd","scooter",156,603,"11/11/2018 12:00:00 PM","11/11/2018 12:00:00 PM","12/12/2018 09:45:24 PM",11,12,0,9,9,2018
"6dcb6c5b-26ff-4737-b7f8-c048e20b9d6b","143dd674-2fd0-49d0-bb90-48dca01f20cb","scooter",343,435,"11/06/2018 12:45:00 PM","11/06/2018 12:45:00 PM","12/21/2018 12:38:31 AM",11,12,2,9,9,2018
"c279773f-4812-494d-8eb2-6784eee7ee3d","e950a844-44f0-4fe4-a978-aae77bf1276b","scooter",174,300,"11/15/2018 02:15:00 PM","11/15/2018 02:15:00 PM","12/12/2018 09:38:28 PM",11,14,4,9,9,2018
